rank,input_difference,output_mask,samples,matches,probability,bias,correlation,abs_correlation,standard_error,approx_95ci_low,approx_95ci_high,seed,rounds,feedforward
1,w04.b00,w08.b13+w12.b13,512,299,0.583984375,0.083984375,0.16796875,0.16796875,0.021783138581854725,0.5412894233795648,0.6266793266204352,20260617,4,False
2,w08.b13+w12.b13,w05.b09+w10.b09,512,223,0.435546875,-0.064453125,-0.12890625,0.12890625,0.021912726159242488,0.3925979317278847,0.4784958182721153,20260617,4,False
3,w00.b00+w01.b00,w15.b18,512,285,0.556640625,0.056640625,0.11328125,0.11328125,0.021954847112152412,0.5136091246601813,0.5996721253398187,20260617,4,False
4,w12.b13,w10.b13,512,229,0.447265625,-0.052734375,-0.10546875,0.10546875,0.02197384301265581,0.4041968926951946,0.4903343573048054,20260617,4,False
5,w00.b07+w04.b07,w00.b07+w04.b07,512,282,0.55078125,0.05078125,0.1015625,0.1015625,0.0219828264223798,0.5076949102121355,0.5938675897878645,20260617,4,False
6,w09.b28,w05.b09+w10.b09,512,282,0.55078125,0.05078125,0.1015625,0.1015625,0.0219828264223798,0.5076949102121355,0.5938675897878645,20260617,4,False
7,w00.b00+w01.b00,w13.b00,512,281,0.548828125,0.048828125,0.09765625,0.09765625,0.021991467370935543,0.5057248489529663,0.5919314010470337,20260617,4,False
8,w00.b07+w04.b07,w12.b23,512,231,0.451171875,-0.048828125,-0.09765625,0.09765625,0.021991467370935543,0.4080685989529663,0.4942751510470337,20260617,4,False
9,w00.b00,w00.b00,512,280,0.546875,0.046875,0.09375,0.09375,0.021999766261853144,0.5037554581267678,0.5899945418732322,20260617,4,False
10,w01.b00,w00.b07+w04.b07,512,280,0.546875,0.046875,0.09375,0.09375,0.021999766261853144,0.5037554581267678,0.5899945418732322,20260617,4,False
11,w12.b13,w13.b00,512,280,0.546875,0.046875,0.09375,0.09375,0.021999766261853144,0.5037554581267678,0.5899945418732322,20260617,4,False
12,w04.b00,w00.b00,512,233,0.455078125,-0.044921875,-0.08984375,0.08984375,0.022007723482092085,0.4119429869750995,0.4982132630249005,20260617,4,False
13,w00.b07+w04.b07,w10.b13,512,235,0.458984375,-0.041015625,-0.08203125,0.08203125,0.02202261437606254,0.4158200508229174,0.5021486991770826,20260617,4,False
14,w08.b13+w12.b13,w08.b13+w12.b13,512,235,0.458984375,-0.041015625,-0.08203125,0.08203125,0.02202261437606254,0.4158200508229174,0.5021486991770826,20260617,4,False
15,w15.b28,w00.b00,512,277,0.541015625,0.041015625,0.08203125,0.08203125,0.02202261437606254,0.4978513008229174,0.5841799491770826,20260617,4,False
16,w00.b00+w01.b00,w01.b00,512,236,0.4609375,-0.0390625,-0.078125,0.078125,0.022029548741661287,0.41775958446634387,0.5041154155336561,20260617,4,False
17,w08.b09,w13.b00,512,236,0.4609375,-0.0390625,-0.078125,0.078125,0.022029548741661287,0.41775958446634387,0.5041154155336561,20260617,4,False
18,w09.b03,w00.b00,512,276,0.5390625,0.0390625,0.078125,0.078125,0.022029548741661287,0.49588458446634387,0.5822404155336561,20260617,4,False
19,w15.b28,w03.b29,512,276,0.5390625,0.0390625,0.078125,0.078125,0.022029548741661287,0.49588458446634387,0.5822404155336561,20260617,4,False
20,w00.b00,w00.b00+w01.b00,512,238,0.46484375,-0.03515625,-0.0703125,0.0703125,0.022042396917907922,0.42164065204090045,0.5080468479590995,20260617,4,False
21,w00.b07+w04.b07,w00.b00+w01.b00,512,274,0.53515625,0.03515625,0.0703125,0.0703125,0.022042396917907922,0.49195315204090045,0.5783593479590995,20260617,4,False
22,w06.b24,w00.b07,512,238,0.46484375,-0.03515625,-0.0703125,0.0703125,0.022042396917907922,0.42164065204090045,0.5080468479590995,20260617,4,False
23,w06.b24,w07.b23,512,238,0.46484375,-0.03515625,-0.0703125,0.0703125,0.022042396917907922,0.42164065204090045,0.5080468479590995,20260617,4,False
24,w12.b13,w12.b23,512,274,0.53515625,0.03515625,0.0703125,0.0703125,0.022042396917907922,0.49195315204090045,0.5783593479590995,20260617,4,False
25,w15.b18,w13.b00,512,238,0.46484375,-0.03515625,-0.0703125,0.0703125,0.022042396917907922,0.42164065204090045,0.5080468479590995,20260617,4,False
26,w00.b00+w01.b00,w05.b09+w10.b09,512,273,0.533203125,0.033203125,0.06640625,0.06640625,0.02204831132326213,0.48998843480640625,0.5764178151935938,20260617,4,False
27,w01.b00,w15.b18,512,273,0.533203125,0.033203125,0.06640625,0.06640625,0.02204831132326213,0.48998843480640625,0.5764178151935938,20260617,4,False
28,w01.b25,w05.b09+w10.b09,512,239,0.466796875,-0.033203125,-0.06640625,0.06640625,0.02204831132326213,0.42358218480640625,0.5100115651935938,20260617,4,False
29,w15.b28,w05.b09+w10.b09,512,273,0.533203125,0.033203125,0.06640625,0.06640625,0.02204831132326213,0.48998843480640625,0.5764178151935938,20260617,4,False
30,w01.b25,w13.b19,512,240,0.46875,-0.03125,-0.0625,0.0625,0.022053886309836356,0.42552438283272076,0.5119756171672792,20260617,4,False
31,w04.b00,w05.b09+w10.b09,512,240,0.46875,-0.03125,-0.0625,0.0625,0.022053886309836356,0.42552438283272076,0.5119756171672792,20260617,4,False
32,w09.b28,w00.b00+w01.b00,512,272,0.53125,0.03125,0.0625,0.0625,0.022053886309836356,0.48802438283272076,0.5744756171672792,20260617,4,False
33,w12.b13,w05.b09,512,240,0.46875,-0.03125,-0.0625,0.0625,0.022053886309836356,0.42552438283272076,0.5119756171672792,20260617,4,False
34,w00.b00,w12.b23,512,241,0.470703125,-0.029296875,-0.05859375,0.05859375,0.022059122134973824,0.4274672456154513,0.5139390043845486,20260617,4,False
35,w04.b00,w10.b13,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
36,w05.b00+w10.b00,w08.b13+w12.b13,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
37,w05.b07,w00.b00,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
38,w06.b24,w05.b09,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
39,w08.b09,w00.b07+w04.b07,512,241,0.470703125,-0.029296875,-0.05859375,0.05859375,0.022059122134973824,0.4274672456154513,0.5139390043845486,20260617,4,False
40,w12.b13,w01.b00,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
41,w12.b13,w07.b23,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
42,w00.b00+w01.b00,w00.b00+w01.b00,512,270,0.52734375,0.02734375,0.0546875,0.0546875,0.0220640190401251,0.4840982726813548,0.5705892273186451,20260617,4,False
43,w01.b25,w01.b00,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
44,w04.b00,w00.b07+w04.b07,512,270,0.52734375,0.02734375,0.0546875,0.0546875,0.0220640190401251,0.4840982726813548,0.5705892273186451,20260617,4,False
45,w05.b00+w10.b00,w13.b19,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
46,w06.b24,w00.b00+w01.b00,512,270,0.52734375,0.02734375,0.0546875,0.0546875,0.0220640190401251,0.4840982726813548,0.5705892273186451,20260617,4,False
47,w06.b24,w05.b09+w10.b09,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
48,w08.b13+w12.b13,w13.b00,512,270,0.52734375,0.02734375,0.0546875,0.0546875,0.0220640190401251,0.4840982726813548,0.5705892273186451,20260617,4,False
49,w12.b13,w00.b07,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
50,w12.b13,w03.b29,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
51,w15.b18,w08.b13+w12.b13,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
