candidate,candidate_hex,samples,agreements,agreement_probability,score_correlation,abs_score_correlation,is_correct,rank
253,0xfd,64,64,1.0,1.0,1.0,True,1
105,0x69,64,54,0.84375,0.6875,0.6875,False,2
119,0x77,64,53,0.828125,0.65625,0.65625,False,3
178,0xb2,64,52,0.8125,0.625,0.625,False,4
21,0x15,64,51,0.796875,0.59375,0.59375,False,5
122,0x7a,64,51,0.796875,0.59375,0.59375,False,6
190,0xbe,64,51,0.796875,0.59375,0.59375,False,7
243,0xf3,64,51,0.796875,0.59375,0.59375,False,8
0,0x00,64,50,0.78125,0.5625,0.5625,False,9
85,0x55,64,50,0.78125,0.5625,0.5625,False,10
94,0x5e,64,50,0.78125,0.5625,0.5625,False,11
103,0x67,64,50,0.78125,0.5625,0.5625,False,12
183,0xb7,64,50,0.78125,0.5625,0.5625,False,13
191,0xbf,64,50,0.78125,0.5625,0.5625,False,14
235,0xeb,64,50,0.78125,0.5625,0.5625,False,15
32,0x20,64,49,0.765625,0.53125,0.53125,False,16
33,0x21,64,49,0.765625,0.53125,0.53125,False,17
44,0x2c,64,49,0.765625,0.53125,0.53125,False,18
99,0x63,64,49,0.765625,0.53125,0.53125,False,19
104,0x68,64,49,0.765625,0.53125,0.53125,False,20
121,0x79,64,49,0.765625,0.53125,0.53125,False,21
126,0x7e,64,49,0.765625,0.53125,0.53125,False,22
152,0x98,64,49,0.765625,0.53125,0.53125,False,23
180,0xb4,64,49,0.765625,0.53125,0.53125,False,24
217,0xd9,64,49,0.765625,0.53125,0.53125,False,25
227,0xe3,64,49,0.765625,0.53125,0.53125,False,26
238,0xee,64,49,0.765625,0.53125,0.53125,False,27
20,0x14,64,48,0.75,0.5,0.5,False,28
30,0x1e,64,48,0.75,0.5,0.5,False,29
39,0x27,64,48,0.75,0.5,0.5,False,30
82,0x52,64,48,0.75,0.5,0.5,False,31
83,0x53,64,48,0.75,0.5,0.5,False,32
84,0x54,64,48,0.75,0.5,0.5,False,33
92,0x5c,64,48,0.75,0.5,0.5,False,34
96,0x60,64,48,0.75,0.5,0.5,False,35
115,0x73,64,48,0.75,0.5,0.5,False,36
167,0xa7,64,48,0.75,0.5,0.5,False,37
177,0xb1,64,48,0.75,0.5,0.5,False,38
182,0xb6,64,48,0.75,0.5,0.5,False,39
194,0xc2,64,48,0.75,0.5,0.5,False,40
216,0xd8,64,48,0.75,0.5,0.5,False,41
219,0xdb,64,48,0.75,0.5,0.5,False,42
247,0xf7,64,48,0.75,0.5,0.5,False,43
250,0xfa,64,48,0.75,0.5,0.5,False,44
12,0x0c,64,47,0.734375,0.46875,0.46875,False,45
24,0x18,64,47,0.734375,0.46875,0.46875,False,46
38,0x26,64,47,0.734375,0.46875,0.46875,False,47
40,0x28,64,47,0.734375,0.46875,0.46875,False,48
42,0x2a,64,47,0.734375,0.46875,0.46875,False,49
43,0x2b,64,47,0.734375,0.46875,0.46875,False,50
53,0x35,64,47,0.734375,0.46875,0.46875,False,51
54,0x36,64,47,0.734375,0.46875,0.46875,False,52
70,0x46,64,47,0.734375,0.46875,0.46875,False,53
73,0x49,64,47,0.734375,0.46875,0.46875,False,54
97,0x61,64,47,0.734375,0.46875,0.46875,False,55
102,0x66,64,47,0.734375,0.46875,0.46875,False,56
107,0x6b,64,47,0.734375,0.46875,0.46875,False,57
108,0x6c,64,47,0.734375,0.46875,0.46875,False,58
109,0x6d,64,47,0.734375,0.46875,0.46875,False,59
112,0x70,64,47,0.734375,0.46875,0.46875,False,60
120,0x78,64,47,0.734375,0.46875,0.46875,False,61
157,0x9d,64,47,0.734375,0.46875,0.46875,False,62
161,0xa1,64,47,0.734375,0.46875,0.46875,False,63
188,0xbc,64,47,0.734375,0.46875,0.46875,False,64
193,0xc1,64,47,0.734375,0.46875,0.46875,False,65
229,0xe5,64,47,0.734375,0.46875,0.46875,False,66
230,0xe6,64,47,0.734375,0.46875,0.46875,False,67
231,0xe7,64,47,0.734375,0.46875,0.46875,False,68
236,0xec,64,47,0.734375,0.46875,0.46875,False,69
240,0xf0,64,47,0.734375,0.46875,0.46875,False,70
255,0xff,64,47,0.734375,0.46875,0.46875,False,71
4,0x04,64,46,0.71875,0.4375,0.4375,False,72
17,0x11,64,46,0.71875,0.4375,0.4375,False,73
18,0x12,64,46,0.71875,0.4375,0.4375,False,74
25,0x19,64,46,0.71875,0.4375,0.4375,False,75
37,0x25,64,46,0.71875,0.4375,0.4375,False,76
46,0x2e,64,46,0.71875,0.4375,0.4375,False,77
48,0x30,64,46,0.71875,0.4375,0.4375,False,78
49,0x31,64,46,0.71875,0.4375,0.4375,False,79
50,0x32,64,46,0.71875,0.4375,0.4375,False,80
51,0x33,64,46,0.71875,0.4375,0.4375,False,81
